IBRS,Offense Category
200,Arson
13A,Assault Offenses
13B,Assault Offenses
13C,Assault Offenses
510,Bribery
220,Burglary/ Breaking and Entering
250,Counterfeiting/ Forgery
290,Destruction/ Damage/ Vandalism of Property
35A,Drug/Narcotic Offenses
35B,Drug/Narcotic Offenses
270,Embezzlement
210,Extortion/ Blackmail
26A,Fraud Offenses
26B,Fraud Offenses
26C,Fraud Offenses
26D,Fraud Offenses
26E,Fraud Offenses
39A,Gambling Offenses
39B,Gambling Offenses
39C,Gambling Offenses
39D,Gambling Offenses
09A,Homicide Offenses
09B,Homicide Offenses
09C,Homicide Offenses
100,Kidnaping/ Abduction
23A,Larceny/ Theft Offenses
23B,Larceny/ Theft Offenses
23C,Larceny/ Theft Offenses
23D,Larceny/ Theft Offenses
23E,Larceny/ Theft Offenses
23F,Larceny/ Theft Offenses
23G,Larceny/ Theft Offenses
23H,Larceny/ Theft Offenses
240,Motor Vehicle Theft
370,Pronography/ Obscene Material
40A,Prostitution Offenses
40B,Prostitution Offenses
120,Robbery
11A,"Sex Offenses, Forcible"
11B,"Sex Offenses, Forcible"
11C,"Sex Offenses, Forcible"
11D,"Sex Offenses, Forcible"
36A,"Sex Offenses, Nonforcible"
36B,"Sex Offenses, Nonforcible"
280,Stolen Property Offenses
520,Weapon Law Violations
